AnswerID-MenuID-situation.key,AnswerID,MenuID,VirtualFlag,situation,menu_calorie,menu_salt,menu_genre,menu_foodstuff,menu_foodstyle,rating,reason_healthy,reason_easy2eat,reason_high_calorie,reason_plenty,reason_quick2eat,reason_usual_food,reason_solty_food,reason_fat_food,reason_sour_food,reason_spicy_food,reason_sweet_food,reason_bitter_food,reason_umami_food,reason_strong_food,reason_lasting_satisfactory_food,reason_warm_food,reason_favorite_foodstuff,reason_favorite_food_type,reason_favorite_genre,user_gender,user_age_class_5,user_height,user_weight,user_occupation,user_frequency_book,user_frequency_comic,user_genre_book,user_frequency_kando_book,user_frequency_tv,user_frequency_kando_tv,user_imagination,user_diff_imagination,user_frequency_handmade,user_frequency_bento,user_frequency_eatout,user_body_style,user_enough_sports,user_frequency_physical_work,user_frequency_smoking,user_frequency_drinking,user_eat_correct,user_eat_speed,concious_food,concious_health,concious_easy2eat,concious_highcalorie,concious_size,concious_usual,concious_satisfaction,concious_solt,concious_fat,concious_sour,concious_sweet,concious_spicy,concious_bitter,concious_umami,concious_strong,concious_genre,like_japanese,like_chineese,like_western,concious_foodtype,like_noodle,like_bowl,like_set_menu,concious_foodstuff,like_fish,like_beaf,like_pork,like_chicken,like_vegetable,situation_virtual_hungryness,situation_real_hungryness
2-2-normal,2,2,1,normal,large,large,Japanese,beef,SET,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,normal,full
2-2-hungry,2,2,1,hungry,large,large,Japanese,beef,SET,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,hungry,full
2-2-full,2,2,0,full,large,large,Japanese,beef,SET,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,full
2-8-normal,2,8,1,normal,small,large,Chinese,none,MEN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,normal,full
2-8-hungry,2,8,1,hungry,small,large,Chinese,none,MEN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,hungry,full
2-8-full,2,8,0,full,small,large,Chinese,none,MEN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,full
2-13-hungry,2,13,1,hungry,small,large,Japanese,fish,MEN,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,hungry,full
2-13-full,2,13,0,full,small,large,Japanese,fish,MEN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,full
2-13-normal,2,13,1,normal,small,large,Japanese,fish,MEN,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,normal,full
2-14-normal,2,14,1,normal,small,large,Japanese,fish,SET,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,normal,full
2-14-hungry,2,14,1,hungry,small,large,Japanese,fish,SET,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,hungry,full
2-14-full,2,14,0,full,small,large,Japanese,fish,SET,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,full
2-18-normal,2,18,1,normal,small,small,Chinese,none,DON,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,normal,full
2-18-hungry,2,18,1,hungry,small,small,Chinese,none,DON,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,hungry,full
2-18-full,2,18,0,full,small,small,Chinese,none,DON,1,3,1,3,3,1,3,2,3,3,3,3,3,3,3,1,2,2,3,3,1,25-29,normal,heavy,1,4,3,1,4,2,2,2,3,6,2,2,1,2,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,full
2-18-normal,2,18,1,normal,small,small,Chinese,none,DON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,normal,hungry
2-18-full,2,18,1,full,small,small,Chinese,none,DON,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,full,hungry
2-18-hungry,2,18,0,hungry,small,small,Chinese,none,DON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,hungry
2-14-full,2,14,1,full,small,large,Japanese,fish,SET,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,full,hungry
2-14-hungry,2,14,0,hungry,small,large,Japanese,fish,SET,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,hungry
2-14-normal,2,14,1,normal,small,large,Japanese,fish,SET,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,normal,hungry
2-13-normal,2,13,1,normal,small,large,Japanese,fish,MEN,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,normal,hungry
2-13-hungry,2,13,0,hungry,small,large,Japanese,fish,MEN,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,hungry
2-13-full,2,13,1,full,small,large,Japanese,fish,MEN,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,full,hungry
2-8-full,2,8,1,full,small,large,Chinese,none,MEN,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,full,hungry
2-8-normal,2,8,1,normal,small,large,Chinese,none,MEN,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,normal,hungry
2-8-hungry,2,8,0,hungry,small,large,Chinese,none,MEN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,hungry
2-2-full,2,2,1,full,large,large,Japanese,beef,SET,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,full,hungry
2-2-normal,2,2,1,normal,large,large,Japanese,beef,SET,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-29,normal,heavy,1,3,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,normal,hungry
